longitude,latitude,year,lithology,GWL,rainfall_mm,soil_thickness,normalized_urban_load_proxy,subsidence,subsidence_cum,city,lithology_class,GWL_depth_bgs,GWL_depth_bgs_z,soil_thickness_censored,soil_thickness_imputed,soil_thickness_eff,urban_load_global,z_surf,head_m,GWL_depth_bgs_raw,z_surf_raw,GWL_depth_bgs_m,z_surf_corr,z_surf_flag_outlier,z_surf_m
113.360298,22.779507,2015,Mudstone–Siltstone,27.19246415,905.4224308333746,0.09,0.9999999999979798,6.205614,6.205614,Nansha,Fine-Grained Soil,27.19246415,-0.5745821110608549,False,0.09,0.09,0.9999999999998318,0.0,-0.2719246415,27.19246415,0.0,0.2719246415,0.0,False,0.0
113.36808,22.794025,2015,Tuff–Sandstone,30.98126721,905.4224308333746,3.17,0.2727272727267254,0.119364,0.119364,Nansha,Mixed Clastics,30.98126721,-0.4664184159902698,False,3.17,3.17,0.2727272727272305,-2.0,-2.3098126721,30.98126721,-2.0,0.3098126721,-2.0,False,-2.0
113.339035,22.831881,2015,Mudstone–Siltstone,84.96337063,905.4224308333746,3.67,0.9999999999979796,0.165582,0.165582,Nansha,Fine-Grained Soil,84.96337063,1.0746761410832948,False,3.67,3.67,0.9999999999998316,1.0,0.1503662937,84.96337063,1.0,0.8496337063,1.0,False,1.0
113.371704,22.828251,2015,Siltstone–Sandstone,10.21197192,905.4224308333746,3.84,0.6363636363623504,5.349874,5.349874,Nansha,Mixed Clastics,10.21197192,-1.0593454399086093,False,3.84,3.84,0.6363636363635289,-1.0,-1.1021197192,10.21197192,-1.0,0.1021197192,-1.0,False,-1.0
113.315186,22.832918,2015,Conglomerate–Sandstone,80.92736919,905.4224308333746,4.45,1.1214373986111815e-16,1.460734,1.460734,Nansha,Coarse-Grained Soil,80.92736919,0.9594553649839948,False,4.45,4.45,1.1214373986132582e-16,-2.0,-2.8092736919,80.92736919,-2.0,0.8092736919,-2.0,False,-2.0
113.320366,22.847439,2015,Shale–Limestone,40.98303811,905.4224308333746,0.86,0.4545454545445359,2.901212,2.901212,Nansha,Mixed Clastics,40.98303811,-0.1808853648758496,False,0.86,0.86,0.4545454545453777,-4.0,-4.4098303811,40.98303811,-4.0,0.4098303811,-4.0,False,-4.0
113.36393,22.852106,2015,Conglomerate–Sandstone,35.86929611,905.4224308333746,4.01,5.607186993055907e-16,0.2592,0.2592,Nansha,Coarse-Grained Soil,35.86929611,-0.3268737473803876,False,4.01,4.01,5.607186993066291e-16,-2.0,-2.3586929611,35.86929611,-2.0,0.3586929611,-2.0,False,-2.0
113.32296,22.838104,2015,Mudstone–Siltstone,80.60990649,905.4224308333746,3.88,0.9999999999979792,1.629806,1.629806,Nansha,Fine-Grained Soil,80.60990649,0.9503923606168362,False,3.88,3.88,0.9999999999998312,-3.0,-3.8060990649,80.60990649,-3.0,0.8060990649,-3.0,False,-3.0
113.315186,22.847958,2015,Tuff–Sandstone,15.96489786,905.4224308333746,3.22,0.2727272727267228,2.932257,2.932257,Nansha,Mixed Clastics,15.96489786,-0.8951094748073198,False,3.22,3.22,0.2727272727272279,-3.0,-3.1596489786,15.96489786,-3.0,0.1596489786,-3.0,False,-3.0
113.326073,22.848475,2015,Sandstone–Siltstone,41.66668194,905.4224308333746,1.83,0.5454545454534453,3.643283,3.643283,Nansha,Mixed Clastics,41.66668194,-0.1613685302465495,False,1.83,1.83,0.5454545454544555,-3.0,-3.4166668194,41.66668194,-3.0,0.4166668194,-3.0,False,-3.0
113.317772,22.843809,2015,Mudstone–Siltstone,8.048632434,905.4224308333746,1.16,0.9999999999979798,1.128958,1.128958,Nansha,Fine-Grained Soil,8.048632434,-1.121104995312331,False,1.16,1.16,0.9999999999998318,-3.0,-3.08048632434,8.048632434,-3.0,0.08048632434,-3.0,False,-3.0
113.367043,22.842772,2015,Siltstone–Sandstone,95.21790725,905.4224308333746,1.09,0.6363636363623513,0.185927,0.185927,Nansha,Mixed Clastics,95.21790725,1.3674252110378118,False,1.09,1.09,0.6363636363635298,-3.0,-3.9521790725,95.21790725,-3.0,0.9521790725,-3.0,False,-3.0
113.316223,22.86092,2015,Sandstone–Siltstone,7.946829846,905.4224308333746,1.96,0.5454545454534444,3.774764,3.774764,Nansha,Mixed Clastics,7.946829846,-1.124011280994498,False,1.96,1.96,0.5454545454544546,-1.0,-1.07946829846,7.946829846,-1.0,0.07946829846,-1.0,False,-1.0
113.297554,22.85729,2015,Sandstone–Siltstone,3.448290334,905.4224308333746,4.13,0.5454545454531465,0.086783,0.086783,Nansha,Mixed Clastics,3.448290334,-1.2524367093773991,False,4.13,4.13,0.5454545454541567,1.0,0.96551709666,3.448290334,1.0,0.03448290334,1.0,False,1.0
113.325554,22.869217,2015,Tuff–Sandstone,19.96248175,905.4224308333746,4.67,0.2727272727267225,3.442601,3.442601,Nansha,Mixed Clastics,19.96248175,-0.7809854525106732,False,4.67,4.67,0.2727272727272276,-4.0,-4.1996248175,19.96248175,-4.0,0.1996248175,-4.0,False,-4.0
113.348892,22.869217,2015,Conglomerate–Sandstone,89.05178622,905.4224308333746,1.31,5.607186993055907e-16,0.228149,0.228149,Nansha,Coarse-Grained Soil,89.05178622,1.1913932494142268,False,1.31,1.31,5.607186993066291e-16,-2.0,-2.8905178622,89.05178622,-2.0,0.8905178622,-2.0,False,-2.0
113.345779,22.857809,2015,Conglomerate–Sandstone,23.27123471,905.4224308333746,2.43,3.3643121958335444e-16,2.407951,2.407951,Nansha,Coarse-Grained Soil,23.27123471,-0.6865263474683182,False,2.43,2.43,3.364312195839775e-16,-1.0,-1.2327123471,23.27123471,-1.0,0.2327123471,-1.0,False,-1.0
113.346298,22.863514,2015,Limestone–Sandstone,24.33268542,905.4224308333746,0.66,0.1818181818178145,1.559531,1.559531,Nansha,Mixed Clastics,24.33268542,-0.6562237877652294,False,0.66,0.66,0.1818181818181512,0.0,-0.2433268542,24.33268542,0.0,0.2433268542,0.0,False,0.0
113.320885,22.872849,2015,Tuff–Sandstone,56.01064179,905.4224308333746,1.27,0.2727272727267222,5.816985,5.816985,Nansha,Mixed Clastics,56.01064179,0.2481264143970275,False,1.27,1.27,0.2727272727272273,-1.0,-1.5601064179000002,56.01064179,-1.0,0.5601064179,-1.0,False,-1.0
113.356667,22.873367,2015,Siltstone–Sandstone,40.47276057,905.4224308333746,4.6,0.6363636363623526,0.707694,0.707694,Nansha,Mixed Clastics,40.47276057,-0.1954528954030047,False,4.6,4.6,0.6363636363635311,-2.0,-2.4047276057,40.47276057,-2.0,0.4047276057,-2.0,False,-2.0
113.362892,22.888924,2015,Siltstone–Sandstone,71.42669834,905.4224308333746,2.79,0.636363636362351,3.774483,3.774483,Nansha,Mixed Clastics,71.42669834,0.6882278431224085,False,2.79,2.79,0.6363636363635296,1.0,0.2857330165999999,71.42669834,1.0,0.7142669834,1.0,False,1.0
113.334885,22.885813,2015,Tuff–Sandstone,70.12064994,905.4224308333746,3.03,0.2727272727267262,3.937011,3.937011,Nansha,Mixed Clastics,70.12064994,0.6509424475376021,False,3.03,3.03,0.2727272727272313,-1.0,-1.7012064994,70.12064994,-1.0,0.7012064994000001,-1.0,False,-1.0
113.371185,22.880627,2015,Siltstone–Sandstone,45.31093668,905.4224308333746,4.21,0.6363636363623515,5.323524,5.323524,Nansha,Mixed Clastics,45.31093668,-0.0573314366804104,False,4.21,4.21,0.63636363636353,-1.0,-1.4531093668,45.31093668,-1.0,0.4531093667999999,-1.0,False,-1.0
113.315704,22.883219,2015,Shale–Limestone,2.483914558,905.4224308333746,3.79,0.4545454545445366,3.89488,3.89488,Nansha,Mixed Clastics,2.483914558,-1.2799679496442715,False,3.79,3.79,0.4545454545453784,-5.0,-5.02483914558,2.483914558,-5.0,0.02483914558,-5.0,False,-5.0
113.330742,22.876997,2015,Sandstone–Siltstone,72.07054443,905.4224308333746,0.23,0.5454545454534435,2.221604,2.221604,Nansha,Mixed Clastics,72.07054443,0.7066085219405754,False,0.23,0.23,0.5454545454544537,-4.0,-4.7207054443,72.07054443,-4.0,0.7207054442999999,-4.0,False,-4.0
113.360817,22.891516,2015,Shale–Limestone,87.04893332,905.4224308333746,3.2,0.4545454545445359,4.463643,4.463643,Nansha,Mixed Clastics,87.04893332,1.134215305109347,False,3.2,3.2,0.4545454545453777,0.0,-0.8704893332000001,87.04893332,0.0,0.8704893332000001,0.0,False,0.0
113.410599,22.7598,2015,Siltstone–Sandstone,10.94612441,955.7236769907844,1.62,0.636363636362351,7.009253,7.009253,Nansha,Mixed Clastics,10.94612441,-1.0383866714516206,False,1.62,1.62,0.6363636363635296,-3.0,-3.1094612441,10.94612441,-3.0,0.1094612441,-3.0,False,-3.0
113.375336,22.780025,2015,Siltstone–Sandstone,93.21741033,905.4224308333746,3.73,0.6363636363623522,7.937484,7.937484,Nansha,Mixed Clastics,93.21741033,1.3103145258377942,False,3.73,3.73,0.6363636363635307,1.0,0.0678258966999999,93.21741033,1.0,0.9321741033,1.0,False,1.0
